DIRECTORIO,NRO_ENCUESTA,HOGAR_NUMERO,PERSONA_NUMERO,P606,P203,P2057,P2059,P2061,P2063,P2063S3,P2065,P2065S3,P3038,P3039
83295,252,1,6,1,1,1,,1,1,,1,,2,1
83296,252,1,1,2,1,2,2,2,1,,1,,2,1
83296,252,1,2,4,2,2,2,2,1,,1,,1,2
83297,252,1,1,4,1,2,2,2,1,,1,,1,2
83298,252,1,1,4,1,1,,2,1,,1,,1,2
83298,252,1,2,1,1,2,2,1,1,,1,,2,1
83298,252,1,3,1,1,2,2,1,1,,1,,2,1
83300,252,1,1,2,1,1,,1,1,,1,,2,1
83300,252,1,2,4,1,1,,1,1,,1,,1,2
83301,252,1,1,6,1,1,,1,1,,1,,1,2
83301,252,1,2,2,2,1,,1,1,,1,,2,1
83301,252,1,3,4,2,1,,1,1,,1,,1,2
83301,252,1,4,1,1,1,,1,1,,1,,2,1
83302,252,1,1,1,1,2,1,1,1,,1,,1,2
83302,252,1,2,1,1,1,,1,1,,1,,2,1
83302,252,1,3,1,1,2,1,1,1,,1,,2,1
83302,252,1,4,3,1,2,2,1,1,,1,,1,2
83302,252,1,5,3,2,2,2,1,1,,1,,1,2
83303,252,1,1,3,1,1,,1,1,,1,,2,1
83303,252,1,2,4,2,1,,1,1,,1,,1,2
83304,252,1,1,1,1,1,,1,1,,1,,2,1
83305,252,1,1,1,1,2,2,2,1,,1,,1,2
83305,252,1,2,1,1,2,2,1,1,,1,,2,1
83305,252,1,3,3,2,2,2,1,1,,1,,2,1
83306,252,1,1,4,1,1,,1,1,,1,,1,2
83306,252,1,3,1,1,2,2,1,2,,1,,1,2
83307,252,1,1,1,1,1,,1,1,,2,,2,1
83307,252,1,2,4,2,1,,1,1,,2,,1,2
83308,252,1,1,1,1,1,,1,1,,1,,1,2
83308,252,1,2,1,1,1,,1,1,,1,,2,1
83308,252,1,3,2,2,1,,1,1,,1,,2,1
83309,252,1,1,1,1,1,,1,1,,1,,2,1
83309,252,1,2,4,1,1,,1,1,,1,,1,2
83310,252,1,1,4,1,1,,1,1,,1,,1,2
83310,252,1,2,1,1,1,,1,1,,1,,2,1
83311,252,1,1,4,2,2,2,2,1,,1,,1,2
83311,252,1,2,1,1,1,,1,1,,1,,2,1
