DIRECTORIO,REGION,DPTO_CAUCA,PDET,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P,FEX_P_PDET
83393,2,,2,2,1,1,2,,2,2,2,,2,1,510.80365294,
83394,2,,2,2,1,1,2,,2,2,2,,2,1,485.00853978,
83395,2,,2,2,1,1,2,,2,2,2,,2,1,508.04471744,
83396,2,,2,2,1,1,2,,2,2,2,,2,1,468.38187118,
83397,2,,2,2,1,1,2,,2,2,2,,2,1,508.04471744,
83398,2,,2,2,1,1,1,1,2,2,2,,1,1,230.96533121,
83399,2,,2,2,1,1,1,1,2,2,2,,1,1,244.23085749,
83400,2,,2,2,1,1,2,,2,2,2,,2,1,491.30212192,
83401,2,,2,2,1,1,2,,2,2,2,,2,1,483.64181788,
83402,2,,2,2,1,1,1,1,2,2,2,,1,1,517.01108201,
83403,2,,2,2,1,1,1,1,2,2,2,,1,1,530.31394188,
83404,2,,2,2,1,1,1,1,2,2,2,,1,1,488.91823765,
83405,2,,2,2,1,1,1,1,2,2,2,,1,1,260.19327268,
83406,2,,2,2,1,1,1,1,1,2,2,,1,1,278.30268776,
83407,2,,2,2,1,1,1,1,2,2,2,,1,1,224.91186516,
83408,2,,2,2,1,1,1,1,1,2,2,,1,1,260.50574689,
83410,2,,2,2,1,1,1,1,1,2,2,,1,1,248.76227207,
83411,2,,2,2,1,1,1,1,2,2,2,,1,1,260.50574689,
83412,2,,2,2,1,1,1,1,2,2,2,,1,1,278.30268776,
83413,2,,2,2,1,1,1,1,2,2,2,,1,1,294.46037552,
83414,2,,2,2,1,1,1,1,2,2,2,,1,1,513.57134636,
83415,2,,2,2,1,1,1,1,2,2,2,,1,1,485.93079116,
83416,2,,2,2,1,1,1,1,1,2,2,,1,1,488.44827542,
83417,2,,2,2,1,1,1,1,2,2,2,,1,1,491.30212192,
83418,2,,2,2,1,1,1,1,2,2,2,,1,1,489.01314865,
83419,2,,2,2,1,1,1,1,2,2,2,,1,1,496.94467776,
83420,2,,2,2,1,1,1,1,2,2,2,,1,1,525.50748434,
83421,2,,2,2,1,1,1,1,1,2,2,,1,1,504.6049818,
83422,2,,2,1,1,1,1,1,1,2,1,2,1,1,826.93474804,
83423,2,,2,1,1,1,1,1,1,2,1,2,1,1,843.74101326,
83424,2,,2,1,1,2,1,1,1,2,1,2,2,1,828.89834031,
83425,2,,2,1,1,1,1,1,1,2,1,2,1,1,774.98741348,
83426,2,,2,1,1,1,1,1,1,2,1,2,1,1,741.52398495,
83427,2,,2,1,1,2,1,1,1,2,1,2,1,1,897.52752701,
83428,2,,2,1,1,1,1,1,1,2,1,2,1,1,773.29254074,
83429,2,,2,1,1,1,1,1,1,2,1,2,1,1,780.61692767,
83430,2,,2,1,1,1,1,1,1,2,1,2,1,1,924.00236098,
83431,2,,2,1,1,2,1,1,1,2,1,2,1,1,1024.1313839,
83432,2,,2,1,1,1,1,1,1,2,1,2,1,1,727.79538843,
